type,non-vacant energy (eV),initial energy (eV),saddle point (eV),final energy (eV),energy barrier (eV)
2,-8502.01543,-8496.3859,-8495.3313,-8496.2276,1.054599999999482
1,-8502.01543,-8496.3859,-8495.2978,-8496.4125,1.0880999999990308
1,-8502.01543,-8496.3859,-8495.1133,-8496.4342,1.2725999999984197
1,-8502.01543,-8496.3859,-8495.5014,-8496.4541,0.8845000000001164
1,-8502.01543,-8496.3859,-8495.4304,-8496.4768,0.9555000000000291
3,-8502.01543,-8496.3859,-8495.1239,-8496.5124,1.2619999999988067
3,-8502.01543,-8496.3859,-8495.2432,-8496.3434,1.1426999999985128
3,-8502.01543,-8496.3859,-8495.1852,-8496.2935,1.200699999999415
1,-8502.01543,-8496.3859,-8495.4312,-8496.3949,0.9546999999984109
2,-8502.01543,-8496.3859,-8495.0179,-8496.1558,1.367999999998574
2,-8502.01543,-8495.5022,-8494.3933,-8495.3293,1.1089000000010856
2,-8502.01543,-8495.5022,-8494.3774,-8495.6921,1.1248000000014144
1,-8502.01543,-8495.5022,-8494.5316,-8495.5419,0.9706000000005588
1,-8502.01543,-8495.5022,-8494.5266,-8495.6416,0.9756000000015774
3,-8502.01543,-8495.5022,-8494.2795,-8495.4805,1.222700000000259
2,-8502.01543,-8495.5022,-8494.4831,-8495.5477,1.0191000000013446
2,-8502.01543,-8495.5022,-8494.2658,-8495.2152,1.236400000001595
3,-8502.01543,-8495.5022,-8494.4151,-8495.5375,1.087100000000646
3,-8502.01543,-8495.5022,-8494.2703,-8495.5907,1.2319000000006781
1,-8502.01543,-8495.5022,-8494.3505,-8495.6401,1.1517000000003463
2,-8502.01543,-8495.5022,-8494.2069,-8495.5828,1.295300000001589
3,-8502.01543,-8495.5022,-8494.1532,-8495.459,1.34900000000016
1,-8502.01543,-8495.7244,-8494.726,-8495.6908,0.9983999999985826
1,-8502.01543,-8495.7244,-8494.7738,-8495.6476,0.9505999999983032
2,-8502.01543,-8495.7244,-8494.715,-8495.9706,1.0093999999990046
2,-8502.01543,-8495.7244,-8494.8731,-8495.7874,0.8512999999984459
3,-8502.01543,-8495.7244,-8494.5005,-8495.6767,1.2238999999990483
3,-8502.01543,-8495.7244,-8494.7494,-8495.9374,0.9749999999985448
2,-8502.01543,-8495.7244,-8494.3408,-8495.7277,1.3835999999992055
3,-8502.01543,-8495.7244,-8494.5081,-8495.7343,1.2163000000000466
3,-8502.01543,-8495.7244,-8494.5711,-8495.7804,1.1532999999999447
